business_description,nic_code,nic_description
We provide services related to activities of other wireless telecommunications activities.,61209,Activities of other wireless telecommunications activities
We are engaged in activities of other wireless telecommunications activities in our region.,61209,Activities of other wireless telecommunications activities
Our business specializes in activity of internet access by the operator of the satellite infrastructure.,61301,Activity of Internet access by the operator of the satellite infrastructure
We provide services related to activity of internet access by the operator of the satellite infrastructure.,61301,Activity of Internet access by the operator of the satellite infrastructure
We are engaged in activity of internet access by the operator of the satellite infrastructure in our region.,61301,Activity of Internet access by the operator of the satellite infrastructure
Our business specializes in other satellite telecommunications activities.,61309,Other satellite telecommunications activities
We provide services related to other satellite telecommunications activities.,61309,Other satellite telecommunications activities
We are engaged in other satellite telecommunications activities in our region.,61309,Other satellite telecommunications activities
Our business specializes in other telecommunications activities.,61900,Other telecommunications activities
We provide services related to other telecommunications activities.,61900,Other telecommunications activities
We are engaged in other telecommunications activities in our region.,61900,Other telecommunications activities
"Our business specializes in writing , modifying, testing of computer program to meet the needs of a.",62011,"Writing , modifying, testing of computer program to meet the needs of a"
"We provide services related to writing , modifying, testing of computer program to meet the needs of a.",62011,"Writing , modifying, testing of computer program to meet the needs of a"
"We are engaged in writing , modifying, testing of computer program to meet the needs of a in our region.",62011,"Writing , modifying, testing of computer program to meet the needs of a"
Our business specializes in web-page designing.,62012,Web-page designing
We provide services related to web-page designing.,62012,Web-page designing
We are engaged in web-page designing in our region.,62012,Web-page designing
Our business specializes in providing software support and maintenance to the clients.,62013,Providing software support and maintenance to the clients
We provide services related to providing software support and maintenance to the clients.,62013,Providing software support and maintenance to the clients
We are engaged in providing software support and maintenance to the clients in our region.,62013,Providing software support and maintenance to the clients
Our business specializes in computer consultancy and computer facilities management activities.,62020,Computer consultancy and computer facilities management activities
We provide services related to computer consultancy and computer facilities management activities.,62020,Computer consultancy and computer facilities management activities
We are engaged in computer consultancy and computer facilities management activities in our region.,62020,Computer consultancy and computer facilities management activities
Our business specializes in software installation.,62091,Software installation
We provide services related to software installation.,62091,Software installation
We are engaged in software installation in our region.,62091,Software installation
Our business specializes in computer disaster recovery.,62092,Computer disaster recovery
We provide services related to computer disaster recovery.,62092,Computer disaster recovery
We are engaged in computer disaster recovery in our region.,62092,Computer disaster recovery
Our business specializes in other information technology and computer service activities n.e.c.,62099,Other information technology and computer service activities n.e.c
We provide services related to other information technology and computer service activities n.e.c.,62099,Other information technology and computer service activities n.e.c
We are engaged in other information technology and computer service activities n.e.c in our region.,62099,Other information technology and computer service activities n.e.c
Our business specializes in data processing activities including report writing.,63111,Data processing activities including report writing
We provide services related to data processing activities including report writing.,63111,Data processing activities including report writing
We are engaged in data processing activities including report writing in our region.,63111,Data processing activities including report writing
Our business specializes in web hosting activities.,63112,Web hosting activities
We provide services related to web hosting activities.,63112,Web hosting activities
We are engaged in web hosting activities in our region.,63112,Web hosting activities
Our business specializes in providing general time-share mainframe facilities to clients.,63113,Providing general time-share mainframe facilities to clients
We provide services related to providing general time-share mainframe facilities to clients.,63113,Providing general time-share mainframe facilities to clients
We are engaged in providing general time-share mainframe facilities to clients in our region.,63113,Providing general time-share mainframe facilities to clients
Our business specializes in providing data entry services.,63114,Providing data entry services
We provide services related to providing data entry services.,63114,Providing data entry services
We are engaged in providing data entry services in our region.,63114,Providing data entry services
"Our business specializes in other data processing, hosting and related activities n.e.c..",63119,"Other data processing, hosting and related activities n.e.c."
"We provide services related to other data processing, hosting and related activities n.e.c..",63119,"Other data processing, hosting and related activities n.e.c."
"We are engaged in other data processing, hosting and related activities n.e.c. in our region.",63119,"Other data processing, hosting and related activities n.e.c."
Our business specializes in operation of web sites that use a search engine to generate and maintain.,63121,Operation of web sites that use a search engine to generate and maintain
We provide services related to operation of web sites that use a search engine to generate and maintain.,63121,Operation of web sites that use a search engine to generate and maintain
We are engaged in operation of web sites that use a search engine to generate and maintain in our region.,63121,Operation of web sites that use a search engine to generate and maintain
"Our business specializes in operation of other websites that act as portals to the internet, such as media.",63122,"Operation of other websites that act as portals to the Internet, such as media"
"We provide services related to operation of other websites that act as portals to the internet, such as media.",63122,"Operation of other websites that act as portals to the Internet, such as media"
"We are engaged in operation of other websites that act as portals to the internet, such as media in our region.",63122,"Operation of other websites that act as portals to the Internet, such as media"
Our business specializes in news agency activities.,63910,News agency activities
We provide services related to news agency activities.,63910,News agency activities
We are engaged in news agency activities in our region.,63910,News agency activities
Our business specializes in telephone based information services.,63991,Telephone based information services
We provide services related to telephone based information services.,63991,Telephone based information services
We are engaged in telephone based information services in our region.,63991,Telephone based information services
Our business specializes in activities of cyber café.,63992,Activities of cyber café
We provide services related to activities of cyber café.,63992,Activities of cyber café
We are engaged in activities of cyber café in our region.,63992,Activities of cyber café
Our business specializes in other information service activities n.e.c..,63999,Other information service activities n.e.c.
We provide services related to other information service activities n.e.c..,63999,Other information service activities n.e.c.
We are engaged in other information service activities n.e.c. in our region.,63999,Other information service activities n.e.c.
Our business specializes in central banking.,64110,Central banking
We provide services related to central banking.,64110,Central banking
We are engaged in central banking in our region.,64110,Central banking
"Our business specializes in monetary intermediation of commercial banks, saving banks. postal savings.",64191,"Monetary intermediation of commercial banks, saving banks. postal savings"
"We provide services related to monetary intermediation of commercial banks, saving banks. postal savings.",64191,"Monetary intermediation of commercial banks, saving banks. postal savings"
"We are engaged in monetary intermediation of commercial banks, saving banks. postal savings in our region.",64191,"Monetary intermediation of commercial banks, saving banks. postal savings"
Our business specializes in activities of specialized institutions granting credit for house purchases that.,64192,Activities of specialized institutions granting credit for house purchases that
We provide services related to activities of specialized institutions granting credit for house purchases that.,64192,Activities of specialized institutions granting credit for house purchases that
We are engaged in activities of specialized institutions granting credit for house purchases that in our region.,64192,Activities of specialized institutions granting credit for house purchases that
Our business specializes in other monetary intermediation services n.e.c..,64199,Other monetary intermediation services n.e.c.
We provide services related to other monetary intermediation services n.e.c..,64199,Other monetary intermediation services n.e.c.
We are engaged in other monetary intermediation services n.e.c. in our region.,64199,Other monetary intermediation services n.e.c.
Our business specializes in activities of holding companies.,64200,Activities of holding companies
We provide services related to activities of holding companies.,64200,Activities of holding companies
We are engaged in activities of holding companies in our region.,64200,Activities of holding companies
"Our business specializes in trusts, funds and other financial vehicles.",64300,"Trusts, funds and other financial vehicles"
"We provide services related to trusts, funds and other financial vehicles.",64300,"Trusts, funds and other financial vehicles"
"We are engaged in trusts, funds and other financial vehicles in our region.",64300,"Trusts, funds and other financial vehicles"
Our business specializes in financial leasing.,64910,Financial leasing
We provide services related to financial leasing.,64910,Financial leasing
We are engaged in financial leasing in our region.,64910,Financial leasing
Our business specializes in other credit granting.,64920,Other credit granting
We provide services related to other credit granting.,64920,Other credit granting
We are engaged in other credit granting in our region.,64920,Other credit granting
"Our business specializes in other financial service activities, except insurance and pension funding.",64990,"Other financial service activities, except insurance and pension funding"
"We provide services related to other financial service activities, except insurance and pension funding.",64990,"Other financial service activities, except insurance and pension funding"
"We are engaged in other financial service activities, except insurance and pension funding in our region.",64990,"Other financial service activities, except insurance and pension funding"
Our business specializes in life insurance.,65110,Life insurance
We provide services related to life insurance.,65110,Life insurance
We are engaged in life insurance in our region.,65110,Life insurance
Our business specializes in non-life insurance.,65120,Non-life insurance
We provide services related to non-life insurance.,65120,Non-life insurance
We are engaged in non-life insurance in our region.,65120,Non-life insurance
Our business specializes in reinsurance.,65020,Reinsurance
We provide services related to reinsurance.,65020,Reinsurance
We are engaged in reinsurance in our region.,65020,Reinsurance
Our business specializes in pension funding.,65300,Pension funding
We provide services related to pension funding.,65300,Pension funding
We are engaged in pension funding in our region.,65300,Pension funding
Our business specializes in administration of financial markets.,66110,Administration of financial markets
We provide services related to administration of financial markets.,66110,Administration of financial markets
We are engaged in administration of financial markets in our region.,66110,Administration of financial markets
Our business specializes in security and commodity contracts brokerage.,66120,Security and commodity contracts brokerage
We provide services related to security and commodity contracts brokerage.,66120,Security and commodity contracts brokerage
We are engaged in security and commodity contracts brokerage in our region.,66120,Security and commodity contracts brokerage
Our business specializes in activities auxiliary to financial service activities n.e.c..,66190,Activities auxiliary to financial service activities n.e.c.
We provide services related to activities auxiliary to financial service activities n.e.c..,66190,Activities auxiliary to financial service activities n.e.c.
We are engaged in activities auxiliary to financial service activities n.e.c. in our region.,66190,Activities auxiliary to financial service activities n.e.c.
Our business specializes in risk and damage evaluation.,66210,Risk and damage evaluation
We provide services related to risk and damage evaluation.,66210,Risk and damage evaluation
We are engaged in risk and damage evaluation in our region.,66210,Risk and damage evaluation
Our business specializes in activities of insurance agents and brokers.,66220,Activities of insurance agents and brokers
We provide services related to activities of insurance agents and brokers.,66220,Activities of insurance agents and brokers
We are engaged in activities of insurance agents and brokers in our region.,66220,Activities of insurance agents and brokers
Our business specializes in other activities auxiliary to insurance and pension funding.,66290,Other activities auxiliary to insurance and pension funding
We provide services related to other activities auxiliary to insurance and pension funding.,66290,Other activities auxiliary to insurance and pension funding
We are engaged in other activities auxiliary to insurance and pension funding in our region.,66290,Other activities auxiliary to insurance and pension funding
Our business specializes in management of mutual funds.,66301,Management of mutual funds
We provide services related to management of mutual funds.,66301,Management of mutual funds
We are engaged in management of mutual funds in our region.,66301,Management of mutual funds
Our business specializes in management of pension funds.,66302,Management of pension funds
We provide services related to management of pension funds.,66302,Management of pension funds
We are engaged in management of pension funds in our region.,66302,Management of pension funds
Our business specializes in management of other investment funds.,66309,Management of other investment funds
We provide services related to management of other investment funds.,66309,Management of other investment funds
We are engaged in management of other investment funds in our region.,66309,Management of other investment funds
Our business specializes in real estate activities with own or leased property.,68100,Real estate activities with own or leased property
We provide services related to real estate activities with own or leased property.,68100,Real estate activities with own or leased property
We are engaged in real estate activities with own or leased property in our region.,68100,Real estate activities with own or leased property
Our business specializes in real estate activities on a fee or contract basis.,68200,Real estate activities on a fee or contract basis
We provide services related to real estate activities on a fee or contract basis.,68200,Real estate activities on a fee or contract basis
We are engaged in real estate activities on a fee or contract basis in our region.,68200,Real estate activities on a fee or contract basis
Our business specializes in legal activities.,69100,Legal activities
We provide services related to legal activities.,69100,Legal activities
We are engaged in legal activities in our region.,69100,Legal activities
"Our business specializes in accounting, bookkeeping and auditing activities.",69201,"Accounting, bookkeeping and auditing activities"
"We provide services related to accounting, bookkeeping and auditing activities.",69201,"Accounting, bookkeeping and auditing activities"
"We are engaged in accounting, bookkeeping and auditing activities in our region.",69201,"Accounting, bookkeeping and auditing activities"
Our business specializes in tax consultancy.,69202,Tax consultancy
We provide services related to tax consultancy.,69202,Tax consultancy
We are engaged in tax consultancy in our region.,69202,Tax consultancy
Our business specializes in activities of head offices.,70100,Activities of head offices
We provide services related to activities of head offices.,70100,Activities of head offices
We are engaged in activities of head offices in our region.,70100,Activities of head offices
Our business specializes in management consultancy activities.,70200,Management consultancy activities
We provide services related to management consultancy activities.,70200,Management consultancy activities
We are engaged in management consultancy activities in our region.,70200,Management consultancy activities
Our business specializes in architectural and engineering activities and related technical consultancy.,71100,Architectural and engineering activities and related technical consultancy
We provide services related to architectural and engineering activities and related technical consultancy.,71100,Architectural and engineering activities and related technical consultancy
We are engaged in architectural and engineering activities and related technical consultancy in our region.,71100,Architectural and engineering activities and related technical consultancy
Our business specializes in technical testing and analysis.,71200,Technical testing and analysis
We provide services related to technical testing and analysis.,71200,Technical testing and analysis
We are engaged in technical testing and analysis in our region.,71200,Technical testing and analysis
Our business specializes in research and experimental development on natural sciences and.,72100,Research and experimental development on natural sciences and
We provide services related to research and experimental development on natural sciences and.,72100,Research and experimental development on natural sciences and
We are engaged in research and experimental development on natural sciences and in our region.,72100,Research and experimental development on natural sciences and
Our business specializes in research and experimental development on social sciences and humanities.,72200,Research and experimental development on social sciences and humanities
We provide services related to research and experimental development on social sciences and humanities.,72200,Research and experimental development on social sciences and humanities
We are engaged in research and experimental development on social sciences and humanities in our region.,72200,Research and experimental development on social sciences and humanities
Our business specializes in advertising.,73100,Advertising
We provide services related to advertising.,73100,Advertising
We are engaged in advertising in our region.,73100,Advertising
Our business specializes in market research and public opinion polling.,73200,Market research and public opinion polling
We provide services related to market research and public opinion polling.,73200,Market research and public opinion polling
We are engaged in market research and public opinion polling in our region.,73200,Market research and public opinion polling
"Our business specializes in fashion design related to textiles, wearing apparel, shoes, jewelry, furniture.",74101,"Fashion design related to textiles, wearing apparel, shoes, jewelry, furniture"
"We provide services related to fashion design related to textiles, wearing apparel, shoes, jewelry, furniture.",74101,"Fashion design related to textiles, wearing apparel, shoes, jewelry, furniture"
"We are engaged in fashion design related to textiles, wearing apparel, shoes, jewelry, furniture in our region.",74101,"Fashion design related to textiles, wearing apparel, shoes, jewelry, furniture"
Our business specializes in activities of interior decorators.,74102,Activities of interior decorators
We provide services related to activities of interior decorators.,74102,Activities of interior decorators
We are engaged in activities of interior decorators in our region.,74102,Activities of interior decorators
Our business specializes in services of graphic designers.,74103,Services of graphic designers
We provide services related to services of graphic designers.,74103,Services of graphic designers
We are engaged in services of graphic designers in our region.,74103,Services of graphic designers
Our business specializes in other specialized design activities n.e.c..,74109,Other specialized design activities n.e.c.
We provide services related to other specialized design activities n.e.c..,74109,Other specialized design activities n.e.c.
We are engaged in other specialized design activities n.e.c. in our region.,74109,Other specialized design activities n.e.c.
Our business specializes in commercial and consumer photograph production.,74201,Commercial and consumer photograph production
We provide services related to commercial and consumer photograph production.,74201,Commercial and consumer photograph production
We are engaged in commercial and consumer photograph production in our region.,74201,Commercial and consumer photograph production
Our business specializes in photographic film processing.,74202,Photographic film processing
We provide services related to photographic film processing.,74202,Photographic film processing
We are engaged in photographic film processing in our region.,74202,Photographic film processing
Our business specializes in activities of photojournalists.,74203,Activities of photojournalists
We provide services related to activities of photojournalists.,74203,Activities of photojournalists
We are engaged in activities of photojournalists in our region.,74203,Activities of photojournalists
Our business specializes in microfilming of documents.,74204,Microfilming of documents
We provide services related to microfilming of documents.,74204,Microfilming of documents
We are engaged in microfilming of documents in our region.,74204,Microfilming of documents
Our business specializes in other photographic activities.,74209,Other photographic activities
We provide services related to other photographic activities.,74209,Other photographic activities
We are engaged in other photographic activities in our region.,74209,Other photographic activities
Our business specializes in business brokerage activities.,74901,Business brokerage activities
We provide services related to business brokerage activities.,74901,Business brokerage activities
We are engaged in business brokerage activities in our region.,74901,Business brokerage activities
Our business specializes in patent brokerage activities.,74902,Patent brokerage activities
We provide services related to patent brokerage activities.,74902,Patent brokerage activities
We are engaged in patent brokerage activities in our region.,74902,Patent brokerage activities
Our business specializes in weather forecasting activities.,74903,Weather forecasting activities
We provide services related to weather forecasting activities.,74903,Weather forecasting activities
We are engaged in weather forecasting activities in our region.,74903,Weather forecasting activities
Our business specializes in security consulting.,74904,Security consulting
We provide services related to security consulting.,74904,Security consulting
We are engaged in security consulting in our region.,74904,Security consulting
"Our business specializes in other professional, scientific and technical activities n.e.c..",74909,"Other professional, scientific and technical activities n.e.c."
"We provide services related to other professional, scientific and technical activities n.e.c..",74909,"Other professional, scientific and technical activities n.e.c."
"We are engaged in other professional, scientific and technical activities n.e.c. in our region.",74909,"Other professional, scientific and technical activities n.e.c."
Our business specializes in veterinary activities.,75000,Veterinary activities
We provide services related to veterinary activities.,75000,Veterinary activities
We are engaged in veterinary activities in our region.,75000,Veterinary activities
Our business specializes in renting and leasing of motor vehicles.,77100,Renting and leasing of motor vehicles
We provide services related to renting and leasing of motor vehicles.,77100,Renting and leasing of motor vehicles
We are engaged in renting and leasing of motor vehicles in our region.,77100,Renting and leasing of motor vehicles
Our business specializes in renting and leasing of recreational and sports goods.,77210,Renting and leasing of recreational and sports goods
We provide services related to renting and leasing of recreational and sports goods.,77210,Renting and leasing of recreational and sports goods
We are engaged in renting and leasing of recreational and sports goods in our region.,77210,Renting and leasing of recreational and sports goods
Our business specializes in renting of video tapes and disks.,77220,Renting of video tapes and disks
We provide services related to renting of video tapes and disks.,77220,Renting of video tapes and disks
We are engaged in renting of video tapes and disks in our region.,77220,Renting of video tapes and disks
"Our business specializes in renting of tent, furniture, pottery and glass, kitchen and tableware, utensils,.",77291,"Renting of tent, furniture, pottery and glass, kitchen and tableware, utensils,"
"We provide services related to renting of tent, furniture, pottery and glass, kitchen and tableware, utensils,.",77291,"Renting of tent, furniture, pottery and glass, kitchen and tableware, utensils,"
"We are engaged in renting of tent, furniture, pottery and glass, kitchen and tableware, utensils, in our region.",77291,"Renting of tent, furniture, pottery and glass, kitchen and tableware, utensils,"
"Our business specializes in renting of books, journals and magazines.",77292,"Renting of books, journals and magazines"
"We provide services related to renting of books, journals and magazines.",77292,"Renting of books, journals and magazines"
"We are engaged in renting of books, journals and magazines in our region.",77292,"Renting of books, journals and magazines"
"Our business specializes in renting of jewellery, musical instruments, scenery and costumes.",77293,"Renting of jewellery, musical instruments, scenery and costumes"
"We provide services related to renting of jewellery, musical instruments, scenery and costumes.",77293,"Renting of jewellery, musical instruments, scenery and costumes"
"We are engaged in renting of jewellery, musical instruments, scenery and costumes in our region.",77293,"Renting of jewellery, musical instruments, scenery and costumes"
"Our business specializes in renting of textiles, wearing apparel, footwear, sleeping bag, rucksack,.",77294,"Renting of textiles, wearing apparel, footwear, sleeping bag, rucksack,"
"We provide services related to renting of textiles, wearing apparel, footwear, sleeping bag, rucksack,.",77294,"Renting of textiles, wearing apparel, footwear, sleeping bag, rucksack,"
"We are engaged in renting of textiles, wearing apparel, footwear, sleeping bag, rucksack, in our region.",77294,"Renting of textiles, wearing apparel, footwear, sleeping bag, rucksack,"
Our business specializes in renting of other personal and household goods n.e.c..,77299,Renting of other personal and household goods n.e.c.
We provide services related to renting of other personal and household goods n.e.c..,77299,Renting of other personal and household goods n.e.c.
We are engaged in renting of other personal and household goods n.e.c. in our region.,77299,Renting of other personal and household goods n.e.c.
"Our business specializes in renting and operational leasing, without operator, of other machinery and.",77301,"Renting and operational leasing, without operator, of other machinery and"
"We provide services related to renting and operational leasing, without operator, of other machinery and.",77301,"Renting and operational leasing, without operator, of other machinery and"
"We are engaged in renting and operational leasing, without operator, of other machinery and in our region.",77301,"Renting and operational leasing, without operator, of other machinery and"
Our business specializes in renting and operational leasing of agricultural and forestry machinery and.,77302,Renting and operational leasing of agricultural and forestry machinery and
We provide services related to renting and operational leasing of agricultural and forestry machinery and.,77302,Renting and operational leasing of agricultural and forestry machinery and
We are engaged in renting and operational leasing of agricultural and forestry machinery and in our region.,77302,Renting and operational leasing of agricultural and forestry machinery and
Our business specializes in renting and operational leasing of construction and civil-engineering.,77303,Renting and operational leasing of construction and civil-engineering
We provide services related to renting and operational leasing of construction and civil-engineering.,77303,Renting and operational leasing of construction and civil-engineering
We are engaged in renting and operational leasing of construction and civil-engineering in our region.,77303,Renting and operational leasing of construction and civil-engineering
Our business specializes in renting and operational leasing of office machinery and equipment without.,77304,Renting and operational leasing of office machinery and equipment without
We provide services related to renting and operational leasing of office machinery and equipment without.,77304,Renting and operational leasing of office machinery and equipment without
We are engaged in renting and operational leasing of office machinery and equipment without in our region.,77304,Renting and operational leasing of office machinery and equipment without
Our business specializes in renting and operational leasing of land-transport equipment (other than.,77305,Renting and operational leasing of land-transport equipment (other than
We provide services related to renting and operational leasing of land-transport equipment (other than.,77305,Renting and operational leasing of land-transport equipment (other than
We are engaged in renting and operational leasing of land-transport equipment (other than in our region.,77305,Renting and operational leasing of land-transport equipment (other than
Our business specializes in renting and operational leasing of water-transport equipment without.,77306,Renting and operational leasing of water-transport equipment without
We provide services related to renting and operational leasing of water-transport equipment without.,77306,Renting and operational leasing of water-transport equipment without
We are engaged in renting and operational leasing of water-transport equipment without in our region.,77306,Renting and operational leasing of water-transport equipment without
Our business specializes in renting and operational leasing of air transport equipment without operator.,77307,Renting and operational leasing of air transport equipment without operator
We provide services related to renting and operational leasing of air transport equipment without operator.,77307,Renting and operational leasing of air transport equipment without operator
We are engaged in renting and operational leasing of air transport equipment without operator in our region.,77307,Renting and operational leasing of air transport equipment without operator
Our business specializes in renting of other tangible goods with out operator (includes renting of.,77308,Renting of other tangible goods with out operator (includes renting of
We provide services related to renting of other tangible goods with out operator (includes renting of.,77308,Renting of other tangible goods with out operator (includes renting of
We are engaged in renting of other tangible goods with out operator (includes renting of in our region.,77308,Renting of other tangible goods with out operator (includes renting of
Our business specializes in renting and leasing of other machinery and equipment n.e.c. without.,77309,Renting and leasing of other machinery and equipment n.e.c. without
We provide services related to renting and leasing of other machinery and equipment n.e.c. without.,77309,Renting and leasing of other machinery and equipment n.e.c. without
We are engaged in renting and leasing of other machinery and equipment n.e.c. without in our region.,77309,Renting and leasing of other machinery and equipment n.e.c. without
Our business specializes in leasing of nonfinancial intangible assets.,77400,Leasing of nonfinancial intangible assets
We provide services related to leasing of nonfinancial intangible assets.,77400,Leasing of nonfinancial intangible assets
We are engaged in leasing of nonfinancial intangible assets in our region.,77400,Leasing of nonfinancial intangible assets
Our business specializes in activities of employment placement agencies.,78100,Activities of employment placement agencies
We provide services related to activities of employment placement agencies.,78100,Activities of employment placement agencies
We are engaged in activities of employment placement agencies in our region.,78100,Activities of employment placement agencies
Our business specializes in temporary employment agency activities.,78200,Temporary employment agency activities
We provide services related to temporary employment agency activities.,78200,Temporary employment agency activities
We are engaged in temporary employment agency activities in our region.,78200,Temporary employment agency activities
Our business specializes in human resources provision and management of human resources functions.,78300,Human resources provision and management of human resources functions
We provide services related to human resources provision and management of human resources functions.,78300,Human resources provision and management of human resources functions
We are engaged in human resources provision and management of human resources functions in our region.,78300,Human resources provision and management of human resources functions
Our business specializes in travel agency activities.,79110,Travel agency activities
We provide services related to travel agency activities.,79110,Travel agency activities
We are engaged in travel agency activities in our region.,79110,Travel agency activities
Our business specializes in tour operator activities.,79120,Tour operator activities
We provide services related to tour operator activities.,79120,Tour operator activities
We are engaged in tour operator activities in our region.,79120,Tour operator activities
Our business specializes in other reservation service and related activities.,79900,Other reservation service and related activities
We provide services related to other reservation service and related activities.,79900,Other reservation service and related activities
We are engaged in other reservation service and related activities in our region.,79900,Other reservation service and related activities
Our business specializes in private security activities.,80100,Private security activities
We provide services related to private security activities.,80100,Private security activities
We are engaged in private security activities in our region.,80100,Private security activities
Our business specializes in security systems service activities.,80200,Security systems service activities
We provide services related to security systems service activities.,80200,Security systems service activities
We are engaged in security systems service activities in our region.,80200,Security systems service activities
Our business specializes in investigation activities.,80300,Investigation activities
We provide services related to investigation activities.,80300,Investigation activities
We are engaged in investigation activities in our region.,80300,Investigation activities
Our business specializes in combined facilities support activities.,81100,Combined facilities support activities
We provide services related to combined facilities support activities.,81100,Combined facilities support activities
We are engaged in combined facilities support activities in our region.,81100,Combined facilities support activities
Our business specializes in general cleaning of buildings.,81210,General cleaning of buildings
We provide services related to general cleaning of buildings.,81210,General cleaning of buildings
We are engaged in general cleaning of buildings in our region.,81210,General cleaning of buildings
"Our business specializes in cleaning of trains buses, planes etc..",81291,"Cleaning of trains buses, planes etc."
"We provide services related to cleaning of trains buses, planes etc..",81291,"Cleaning of trains buses, planes etc."
"We are engaged in cleaning of trains buses, planes etc. in our region.",81291,"Cleaning of trains buses, planes etc."
Our business specializes in cleaning of industrial machinery.,81292,Cleaning of industrial machinery
We provide services related to cleaning of industrial machinery.,81292,Cleaning of industrial machinery
We are engaged in cleaning of industrial machinery in our region.,81292,Cleaning of industrial machinery
Our business specializes in other building and industrial cleaning activities.,81299,Other building and industrial cleaning activities
We provide services related to other building and industrial cleaning activities.,81299,Other building and industrial cleaning activities
We are engaged in other building and industrial cleaning activities in our region.,81299,Other building and industrial cleaning activities
Our business specializes in landscape care and maintenance service activities.,81300,Landscape care and maintenance service activities
We provide services related to landscape care and maintenance service activities.,81300,Landscape care and maintenance service activities
We are engaged in landscape care and maintenance service activities in our region.,81300,Landscape care and maintenance service activities
Our business specializes in combined office administrative service activities.,82110,Combined office administrative service activities
We provide services related to combined office administrative service activities.,82110,Combined office administrative service activities
We are engaged in combined office administrative service activities in our region.,82110,Combined office administrative service activities
"Our business specializes in photocopying, duplicating and bluprinting services.",82191,"Photocopying, duplicating and bluprinting services"
"We provide services related to photocopying, duplicating and bluprinting services.",82191,"Photocopying, duplicating and bluprinting services"
"We are engaged in photocopying, duplicating and bluprinting services in our region.",82191,"Photocopying, duplicating and bluprinting services"
"Our business specializes in document preparation, typing, word processing and desktop publishing.",82192,"Document preparation, typing, word processing and desktop publishing"
"We provide services related to document preparation, typing, word processing and desktop publishing.",82192,"Document preparation, typing, word processing and desktop publishing"
"We are engaged in document preparation, typing, word processing and desktop publishing in our region.",82192,"Document preparation, typing, word processing and desktop publishing"
Our business specializes in other specialised office support services activities.,82199,Other specialised office support services activities
We provide services related to other specialised office support services activities.,82199,Other specialised office support services activities
We are engaged in other specialised office support services activities in our region.,82199,Other specialised office support services activities
Our business specializes in activities of call centres.,82200,Activities of call centres
We provide services related to activities of call centres.,82200,Activities of call centres
We are engaged in activities of call centres in our region.,82200,Activities of call centres
Our business specializes in organization of conventions and trade shows.,82300,Organization of conventions and trade shows
We provide services related to organization of conventions and trade shows.,82300,Organization of conventions and trade shows
We are engaged in organization of conventions and trade shows in our region.,82300,Organization of conventions and trade shows
Our business specializes in activities of collection agencies and credit bureaus.,82910,Activities of collection agencies and credit bureaus
We provide services related to activities of collection agencies and credit bureaus.,82910,Activities of collection agencies and credit bureaus
We are engaged in activities of collection agencies and credit bureaus in our region.,82910,Activities of collection agencies and credit bureaus
Our business specializes in packaging activities.,82920,Packaging activities
We provide services related to packaging activities.,82920,Packaging activities
We are engaged in packaging activities in our region.,82920,Packaging activities
Our business specializes in other business support service activities n.e.c..,82990,Other business support service activities n.e.c.
We provide services related to other business support service activities n.e.c..,82990,Other business support service activities n.e.c.
We are engaged in other business support service activities n.e.c. in our region.,82990,Other business support service activities n.e.c.
Our business specializes in general public service activities relating to executive.,84111,General public service activities relating to executive
We provide services related to general public service activities relating to executive.,84111,General public service activities relating to executive
We are engaged in general public service activities relating to executive in our region.,84111,General public service activities relating to executive
Our business specializes in general public service activities relating to legislation.,84112,General public service activities relating to legislation
We provide services related to general public service activities relating to legislation.,84112,General public service activities relating to legislation
We are engaged in general public service activities relating to legislation in our region.,84112,General public service activities relating to legislation
Our business specializes in general public service activities n.e.c..,84119,General public service activities n.e.c.
We provide services related to general public service activities n.e.c..,84119,General public service activities n.e.c.
We are engaged in general public service activities n.e.c. in our region.,84119,General public service activities n.e.c.
Our business specializes in regulatory agencies relating to health.,84121,Regulatory agencies relating to health
We provide services related to regulatory agencies relating to health.,84121,Regulatory agencies relating to health
We are engaged in regulatory agencies relating to health in our region.,84121,Regulatory agencies relating to health
We operate a private primary school for children.,84122,Regulatory agencies relating to education
